SINO,JOb_Title,Position,Company,Location,State,Address
107,Clinical Research Scientist,Full-Time,Collabera,"Woodcliff Lake, NJ",NJ,"WoodcliffLake,"
108,Principal Scientist,Full-Time,Pharmavite® LLC,"Santa Clarita, CA",CA,"SantaClarita,"
109,Analytical Scientist,Full-Time,Eurofins,"Lincoln, NE


View 6 more",NE,"SantaClarita,Lincoln,View6more"
110,"Senior Associate Scientist, Immune Biologist",Full-Time,Johnson & Johnson,"Spring House, PA


View 4 more",PA,"SantaClarita,Lincoln,View6moreSpringHouse,View4more"
111,Discovery-Immune Modulation Senior Scientist,Full-Time,Johnson & Johnson,"Spring House, PA


View 7 more",PA,"SantaClarita,Lincoln,View6moreSpringHouse,View4moreSpringHouse,View7more"
112,Analytical Scientist I w/HPLC experience (Pharma Manufacturing),Full-Time,Pioneer Data Systems Inc,"Richmond, VA",VA,"Richmond,"
113,Analytical Scientist,Full-Time | Pay: $26.00/hour,Atrium Staffing,"Richmond, VA",VA,"Richmond,"
114,Machine Learning Scientist/ Data Scientist,Contractor,Mastech,"Oakland, CA",CA,"Oakland,"
115,Inhalation Scientist,Contractor | Pay: $36.00 - $38.00/hour,"The Staffing Resource Group, Inc","Ewing Township, NJ",NJ,"EwingTownship,"
116,"Senior Scientist, Signal Management Group",Full-Time,Johnson & Johnson,"Horsham, PA


View 6 more",PA,"EwingTownship,Horsham,View6more"
117,Bench Scientist,Contractor,"Integrated Resources, Inc","Richmond, VA",VA,"Richmond,"
118,Scientist / T-Cell Therapies,Full-Time,Pioneer Data Systems Inc,"South San Francisco, CA",CA,"SouthSanFrancisco,"
119,Cyber Computer Scientist II/ Data Scientist,Full-Time,Battelle Memorial Institute,"Columbus, OH",OH,"Columbus,"
120,Research Scientist III - NMR,Full-Time,AMRI,"Albany, NY


View 6 more",NY,"Columbus,Albany,View6more"
121,Senior Scientist - Perm Opportunity,Full-Time | Pay: 80k - 120k /year,Kelly Scientific Resources,"Cambridge, MA


View 5 more",MA,"Columbus,Albany,View6moreCambridge,View5more"
122,"Senior Scientist, Downstream process development, purification",Full-Time,Apex Life Sciences,"PRINCETON, NJ


View 1 more",NJ,"Columbus,Albany,View6moreCambridge,View5morePRINCETON,View1more"
